node,domain,avg_cf,cv,role_plot
6,EMO,0.255589,0.140075,Backbone
39,STR,0.21817,0.255931,Backbone
16,EMO,0.175572,0.659884,Backbone
3,SPF,0.168886,0.897853,Liaison
25,SPF,0.151353,0.533705,Backbone
26,CSF,0.145141,0.846828,Backbone
0,EMO,0.142691,1.684463,Liaison
43,STR,0.124235,0.915369,Liaison
23,CSF,0.111822,1.125724,Liaison
42,STR,0.09953,1.222038,Liaison
12,CSF,0.037809,0.912548,
20,SPF,0.034676,1.089008,
14,CSF,0.027159,1.397692,
11,SPF,0.02591,1.096864,
9,CSF,0.025216,0.926392,
19,EMO,0.023912,0.992357,
4,EMO,0.021625,1.017736,
2,CSF,0.015283,1.025553,
